Andorra,andorra
United Arab Emirates,united-arab-emirates
Afghanistan,afghanistan
Antigua and Barbuda,antigua-and-barbuda
Anguilla,anguilla
Albania,albania
Armenia,armenia
Angola,angola
Antarctica,antarctica
Argentina,argentina
American Samoa,american-samoa
Austria,austria
Australia,australia
Aruba,aruba
Azerbaijan,azerbaijan
Bosnia and Herzegovina,bosnia-and-herzegovina
Barbados,barbados
Bangladesh,bangladesh
Belgium,belgium
Burkina Faso,burkina-faso
Bulgaria,bulgaria
Bahrain,bahrain
Burundi,burundi
Benin,benin
Bermuda,bermuda
Brunei,brunei
Bolivia,bolivia
Brazil,brazil
Bahamas,bahamas
Bhutan,bhutan
Bouvet Island,bouvet-island
Botswana,botswana
Belarus,belarus
Belize,belize
Canada,canada
Cocos [Keeling] Islands,cocos-[keeling]-islands
Congo [DRC],congo-[drc]
Central African Republic,central-african-republic
Congo [Republic],congo-[republic]
Switzerland,switzerland
Côte d'Ivoire,côte-d'ivoire
Cook Islands,cook-islands
Chile,chile
Cameroon,cameroon
China,china-peoples-republic
Colombia,colombia
Costa Rica,costa-rica
Cuba,cuba
Cape Verde,cape-verde
Christmas Island,christmas-island
Cyprus,cyprus
Czech Republic,czech-republic
Germany,germany
Djibouti,djibouti
Denmark,denmark
Dominica,dominica
Dominican Republic,dominican-republic
Algeria,algeria
Ecuador,ecuador
Estonia,estonia
Egypt,egypt
Western Sahara,western-sahara
Eritrea,eritrea
Spain,spain
Ethiopia,ethiopia
Finland,finland
Fiji,fiji
Falkland Islands [Islas Malvinas],falkland-islands-[islas-malvinas]
Micronesia,micronesia-federated-states-of
Faroe Islands,faroe-islands
France,france
Gabon,gabon
United Kingdom,united-kingdom
Grenada,grenada
Georgia,georgia
French Guiana,french-guiana
Guernsey,guernsey
Ghana,ghana
Gibraltar,gibraltar
Greenland,greenland
Gambia,gambia
Guinea,guinea
Guadeloupe,guadeloupe
Equatorial Guinea,equatorial-guinea
Greece,greece
South Georgia and the South Sandwich Islands,south-georgia-and-the-south-sandwich-islands
Guatemala,guatemala
Guam,guam
Guinea-Bissau,guinea-bissau
Guyana,guyana
Gaza Strip,gaza-strip
Hong Kong,china-hong-kong
Heard Island and McDonald Islands,heard-island-and-mcdonald-islands
Honduras,honduras
Croatia,croatia
Haiti,haiti
Hungary,hungary
Indonesia,indonesia
Ireland,ireland
Israel,israel
Isle of Man,isle-of-man
India,india
British Indian Ocean Territory,british-indian-ocean-territory
Iraq,iraq
Iran,iran
Iceland,iceland
Italy,italy
Jersey,jersey
Jamaica,jamaica
Jordan,jordan
Japan,japan
Kenya,kenya
Kyrgyzstan,kyrgyzstan
Cambodia,cambodia
Kiribati,kiribati
Comoros,comoros
Saint Kitts and Nevis,saint-kitts-nevis
North Korea,north-korea
South Korea,south-korea
Kuwait,kuwait
Cayman Islands,cayman-islands
Kazakhstan,kazakhstan
Laos,laos
Lebanon,lebanon
Saint Lucia,saint-lucia
Liechtenstein,liechtenstein
Sri Lanka,sri-lanka
Liberia,liberia
Lesotho,lesotho
Lithuania,lithuania
Luxembourg,luxembourg
Latvia,latvia
Libya,libya
Morocco,morocco
Monaco,monaco
Moldova,moldova
Montenegro,montenegro
Madagascar,madagascar
Marshall Islands,marshall-islands
Macedonia,north-macedonia
Mali,mali
Myanmar,myanmar
Mongolia,mongolia
Macau,china-macau
Northern Mariana Islands,northern-mariana-islands
Martinique,martinique
Mauritania,mauritania
Montserrat,montserrat
Malta,malta
Mauritius,mauritius
Maldives,maldives
Malawi,malawi
Mexico,mexico
Malaysia,malaysia
Mozambique,mozambique
Namibia,namibia
New Caledonia,new-caledonia
Niger,niger
Norfolk Island,norfolk-island
Nigeria,nigeria
Nicaragua,nicaragua
Netherlands,netherlands
Norway,norway
Nepal,nepal
Nauru,nauru
Niue,niue
New Zealand,new-zealand
Oman,oman
Panama,panama
Peru,peru
French Polynesia,french-polynesia
Papua New Guinea,papua-new-guinea
Philippines,philippines
Pakistan,pakistan
Poland,poland
Saint Pierre and Miquelon,saint-pierre-and-miquelon
Pitcairn Islands,pitcairn-islands
Puerto Rico,puerto-rico
Palestinian Territories,palestinian-territories
Portugal,portugal
Palau,palau
Paraguay,paraguay
Qatar,qatar
Réunion,réunion
Romania,romania
Serbia,serbia
Russia,russia
Rwanda,rwanda
Saudi Arabia,saudi-arabia
Solomon Islands,solomon-islands
Seychelles,seychelles
Sudan,sudan
Sweden,sweden
Singapore,singapore
Saint Helena,saint-helena
Slovenia,slovenia
Svalbard and Jan Mayen,svalbard-and-jan-mayen
Slovakia,slovakia
