"Ephesians 1:17-19a", "I keep asking that the God of our Lord Jesus Christ, the glorious Father, may *give NAMES the Spirit of wisdom and revelation*, so that they may know Him better. I pray also that the eyes of their hearts may be enlightened in order *that NAMES may know the hope to which He has called them*, the riches of His glorious inheritance in the saints, and His incomparably great power for us who believe."
"Ephesians 3:16-19","I pray that out of His glorious riches *God may strengthen NAMES with power through His Spirit* in their inner being, so *that Christ may dwell in their hearts through faith*. And I pray that NAMES, being rooted and established in love, may have power, together with all the saints, to grasp how wide and long and high and deep is the love of Christ, and to know this love that surpasses knowledge that they may be filled to the measure of all the fullness of God."
"Philippians 1:9-11", "And this is my prayer: *that their love may abound* more and more in knowledge and depth of insight, so *that NAMES may be able to discern what is best and may be pure and blameless* until the day of Christ, filled with the fruit of righteousness that comes through Jesus Christ to the glory and praise of God."
"Colossians 1:9-12", "We *ask God to fill NAMES with the knowledge of His will* through all spiritual wisdom and understanding. And we pray this in order *that NAMES may live a life worthy of the Lord* and may please Him in every way: bearing fruit in every good work, growing in the knowledge of God, being strengthened with all power according to His glorious might so *that they may have great endurance and patience*, and joyfully giving thanks to the Father, who has qualified NAMES to share in the inheritance of the saints in the kingdom of light."
"Romans 15:5-6", "May the God who gives endurance and encouragement *give us a spirit of unity among ourselves as we follow Christ Jesus*, so that with one heart and mouth we (and *especially NAMES*) may glorify the God and Father of our Lord Jesus Christ."
"John 17:11b", "Holy Father, *protect us by the power of Your name* - the name You gave Jesus - so *that we may be one* as Jesus and the Father are one. I pray this *especially for NAMES*."
"John 17:23", "*May we be brought to complete unity - especially NAMES* - to let the world know that You sent Jesus and have loved us even as You have loved Jesus."
"Romans 15:13", "May the God of hope *fill NAMES with all joy and peace* as they trust in Him, so that *they may overflow with hope* by the power of the Holy Spirit.)"
"1 Thessalonians 3:13", "May the Lord *strengthen their hearts so that NAMES will be blameless and holy* in the presence of our God and Father when our Lord Jesus comes with all His holy ones."
"2 Peter 1:2", "*May grace and peace be multiplied to NAMES* through the knowledge of God and of Jesus our Lord."
"1 Thessalonians 5:23-24", "May God Himself, the God of peace, *sanctify NAMES through and through. May their whole spirit, soul and body be kept blameless* at the coming of our Lord Jesus Christ. The one who calls them is faithful and He will do it."
"2 Thessalonians 1:11-12", "*We pray that our God may count NAMES worthy of His calling*, and that by His power He may *fulfill every good purpose of theirs* and every act prompted by their faith. We pray this so *that the name of our Lord Jesus may be glorified in NAMES*, and they in Him, according to the grace of our God and the Lord Jesus Christ."
"John 17:15-17", "My prayer is not that You take NAMES out of the world but that You *protect them from the evil one*. They are not of the world, even as Jesus was not of it. *Sanctify them by the truth*; Your word is truth."
"Colossians 4:3-4", "*Pray for NAMES that God may open a door for their message*, so that they may proclaim the mystery of Christ. *Pray that they may proclaim it clearly*, as they should."
"Ephesians 6:19", "*Pray for NAMES, that whenever they open their mouths words may be given them* so that they will fearlessly make known the mystery of the gospel."
"2 Thessalonians 3:1-5", "*Pray for NAMES that the message of the Lord may spread rapidly and be honored*. And pray that they may be delivered from wicked and evil people, for not everyone has faith. But the Lord is faithful, and He will *strengthen and protect NAMES from the evil one*.... May the Lord *direct their hearts into God's love and Christ's perseverance*."
"Acts 4:29-30", "Now, Lord, *consider Stanford and enable Your servants NAMES to speak Your word with great boldness*. Stretch out Your hand to *heal and perform miraculous signs and wonders* through the name of Your holy servant Jesus."
"3 John 2", "I pray that NAMES may *enjoy good health* and that *all may go well with them*, even as their souls are prospering."
"Philemon 1:6", "I pray that NAMES's *partnership with us in the faith* may be effective in *deepening their understanding* of *every good thing* we share for the sake of Christ."
